SMILES,FingerPrint_0,FingerPrint_1
O=S(=O)(Nc1cccc(-c2cnc3ccccc3n2)c1)c1cccs1,20.125387,-54.475002
O=c1cc(-c2nc(-c3ccc(-c4cn(CCP(=O)(O)O)nn4)cc3)[nH]c2-c2ccc(F)cc2)cc[nH]1,36.81266,40.3945
NC(=O)c1ccc2c(c1)nc(C1CCC(O)CC1)n2CCCO,89.64632,-30.734026
NCCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,89.51575,-31.030727
CNC(=S)Nc1cccc(-c2cnc3ccccc3n2)c1,20.502962,-54.041405
O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)C1CC1,20.559916,-53.980305
O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)c1ccco1,20.565096,-53.96703
COc1cc(Nc2nccc(-c3ccc(Cl)cc3)n2)cc(OC)c1OC,26.6811,-26.871534
CN1C(=O)COc2c1cnc1ccc(Sc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc21,14.486982,56.411472
COc1ccc2c(c1)C(=O)N(c1nc(C(=O)Nc3cnccc3N3CCNCC3)cs1)C2,11.815625,-24.23232
NCCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,89.008,-32.91947
CS(=O)(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,20.208488,-54.371674
NCCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,89.59134,-30.8642
N#CCC(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,20.59619,-53.94402
O=C(CN1CCN(c2ccccc2)CC1)Nc1cccc(-c2cnc3ccccc3n2)c1,20.701609,-53.86039
NS(=O)(=O)OCCn1cnc2c(Nc3ccc(F)cc3)nc(NCc3ccc(C4CCCCC4)cc3)nc21,12.340494,-2.670073
CN1CCC(CNc2c(Cl)c[nH]c3nc(-c4cccc(F)c4)nc2-3)CC1,37.934875,-53.786415
COc1cccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)c1,37.8267,-53.665447
O=C1NN(c2ccccc2)C(=O)C1=Cc1cc(Cl)ccc1OCc1ccccc1,45.53906,-16.051334
COc1ccc(-c2nc3[nH]cc(Cl)c(NC4CCN(C)CC4)c-3n2)cc1,37.37962,-53.677517
C#Cc1ccc(-c2nc(-c3cc[nH]c(=O)c3)c(-c3ccc(F)cc3)[nH]2)cc1,36.375175,39.757168
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNC4)c-3n2)cc1,37.41715,-52.86795
NCCn1c(-c2ccncc2)nc2cc(C(N)=O)ccc21,89.01098,-33.120758
COc1ccc(F)c(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c1,37.894333,-52.642303
NC(=O)c1cnc(NC2CCC(N)CC2)c2nc(-c3ccc(Cl)cc3)cn12,25.939981,-21.606483
CCCCN(C)c1ncc(NS(=O)(=O)c2ccccc2C)cc1C(=O)O,8.835572,-37.31916
CC(O)Cn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,89.71791,-30.606974
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c(F)c1,37.900494,-52.652824
FC(F)(F)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,58.715927,52.060482
O=C1NC(=O)C(c2ccccc2)=C1Nc1cccc(OCCNc2ccnc(F)c2)c1,55.722755,21.873817
O=C1Nc2ccc3c(oc4ccccc43)c2C1=NNc1ccncc1,37.80029,9.0288
O=C1c2oc(-c3ccc(Cl)cc3)cc2Cc2cc(N3CCNCC3)ccc2N1Cc1ccccc1-c1cccnc1,28.181715,-14.237448
COc1ccc(-c2nc3[nH]cc(C(N)=O)c(NCC4CCN(C)CC4)c-3n2)cc1,37.405006,-53.942707
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CN(c3ccnc(F)c3)C2)c1,54.7385,21.233957
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)cc1OC,37.772972,-53.610096
COc1ccc(-c2nc3[nH]cc(Cl)c(OCC4CCNCC4)c-3n2)cc1,37.15632,-52.592567
C=Cc1nc(NC(=O)Nc2ccc(N3CCNCC3)cc2)nn1C(=C)c1ccc(S(C)(=O)=O)cc1,22.870943,-78.64842
COc1ccccc1Nc1nc2c(-c3ccc(C(F)(F)F)cc3)cccn2n1,18.490526,-93.36276
COc1ccccc1Nc1nc2c(-c3ccccc3)cccn2n1,18.504385,-93.27405
CNC(=O)c1cccc(-c2cccn3nc(Nc4ccccc4OC)nc23)c1,18.345959,-93.40753
CNC(=O)c1ccc(-c2cccn3nc(Nc4ccccc4OC)nc23)cc1,18.35794,-93.34866
CS(=O)(=O)c1ccc(-c2ccc3nc(Nc4ccc(N5CCOCC5)cc4)nn3c2)cc1,24.072517,-81.17664
CS(=O)(=O)c1ccccc1Nc1nc2c(Nc3ccccc3S(C)(=O)=O)cccn2n1,19.56995,-90.003044
c1ccc(-c2cccc3nc(Nc4ccc(OCCN5CCCC5)cc4)nn23)cc1,26.480377,-77.02582
CN1CCN(c2nc3c(NCc4cccc([N+](=O)[O-])c4)cccn3n2)CC1,-50.279522,-32.24719
O=[N+]([O-])c1cccc(CNc2cccn3nc(N4CCOCC4)nc23)c1,-50.29295,-32.240982
NC1CCN(c2nc3c(NCc4cccnc4)cccn3n2)CC1,28.12753,-92.90083
c1cncc(CNc2cccn3nc(NCCN4CCOCC4)nc23)c1,28.07564,-92.7686
CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cc(C(F)(F)F)cn4n3)c2)CC1,23.405066,-83.370834
CN1CCN(c2ccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cc(C(F)(F)F)cn4n3)cc2)CC1,23.46003,-83.33395
c1ccc2c(c1)CCCN2c1nc2cccc(N3CCCc4ccccc43)n2n1,40.853706,22.25265
COCc1ccccc1-c1cccc2nc(Nc3ccc4c(c3)CCNCC4)nn12,9.712355,-103.013824
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3cccc(C4CCN(C(=O)OC(C)(C)C)CC4)c3)nc12,18.698797,-99.82901
CC(=O)Nc1ccc(Sc2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)cc1,20.490843,-99.960014
COc1ccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)cc1,26.056532,-92.103546
COc1cccc(CNc2cccn3nc(Nc4ccc(OC)nc4)nc23)c1,26.706676,-94.27082
CS(=O)(=O)c1ccc(-c2cccn3nc(NCCc4ccccn4)nc23)cc1,16.55226,-86.12125
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccc(OCCNc2ccnc(F)c2)cc1,55.55119,21.773767
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)cc1,37.59405,-53.61986
COc1cccc(NC(=O)c2cnc(N3CCN(c4ccccc4OC)CC3)c([N+](=O)[O-])c2)c1,-16.878502,-66.37903
O=c1[nH]c(CSc2nnc(NCC3CCCO3)s2)nc2sc(-c3ccccc3)cc12,27.10397,7.2463264
